rank,team,teamName,organization,city,region,country,gradeLevel,eventSku,eventDate,combined,programming,driver,maxProgramming,maxDriver,eligible
180,29777A,Eclipse Pulse,上海市曹杨二中学附属学校,上海,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,67,18,49,32,49,false
181,71666B,Qi Yi B队,Beijing Qi Yi Primary School,北京市,Beijing,China,Middle School,RE-V5RC-25-3092,2025-10-24,67,32,35,32,35,false
182,7700H,Rolling Robots Humuhumunukunukuapua,Rolling Robots,Rolling Hills Estates,California,United States,Middle School,RE-V5RC-25-0285,2025-11-15,67,23,44,23,51,false
183,11337A,Marist College Eastwood,Marist College Eastwood,Eastwood,New South Wales,Australia,Middle School,RE-V5RC-25-2067,2025-11-09,67,15,52,15,52,false
184,14273B,ZZH&LYH,QongWolf Studio,foshan,Guangdong,China,Middle School,RE-V5RC-25-1913,2025-11-07,67,6,61,6,61,false
185,16688A,Blue See 123,Vexkan Robotics Club,Calgary,Alberta,Canada,Middle School,RE-V5RC-25-1906,2025-11-22,67,0,67,0,67,false
186,62024N,Panda Robotics,Panda Robotics,Ho Chi Minh City,,Vietnam,Middle School,RE-V5RC-25-1400,2025-11-22,67,0,67,0,67,false
187,20850V,Octobots ,AOE Robotics Club ,Rockville,Maryland,United States,Middle School,RE-V5RC-25-0506,2025-11-08,66,24,42,24,42,false
188,77774W,Fusion,Madison Middle School,Madison,Mississippi,United States,Middle School,RE-V5RC-25-0205,2025-11-21,65,17,48,21,48,false
189,62345A,Brookbotics,Cranbrook School,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-2067,2025-11-09,65,20,45,20,45,false
190,52508A,Short Circuits,Short Circuits Robotics Club,Oakland,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,65,20,45,20,45,false
191,2055X,Red Pandas,Mi3L School,Oakville,Ontario,Canada,Middle School,RE-V5RC-25-2246,2025-11-15,65,15,50,15,50,false
192,9258X,UK Ruiguan Team 9258X,RuiGuan UK,Malvern,,United Kingdom,Middle School,RE-V5RC-25-9988,2025-11-22,65,13,52,13,52,false
193,65100F,65100F,"Pymble Ladies College, Sydney, Australia",Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-0841,2025-08-27,64,27,37,27,38,false
194,29566V,Chongqing Bashu Middle School Spanner Team,Chongqing Bashu Middle School,Chongqing,Chongqing,China,Middle School,RE-V5RC-25-3771,2025-11-14,64,23,41,23,41,false
195,65100G,Gerf,"Pymble Ladies College, Sydney, Australia",Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-2067,2025-11-09,64,15,49,15,49,false
196,79298F,Fusion,Altona Middle School,Longmont,Colorado,United States,Middle School,RE-V5RC-25-0997,2025-11-15,64,15,49,15,49,false
197,12181C,LUNAR,IBSH-Curious Robotics,Hsinchu City,,Taiwan,Middle School,RE-V5RC-25-0320,2025-10-25,64,15,49,15,49,false
198,2731Y,The Lightning Team,小手宇宙机器人,Hangzhou,Zhejiang,China,Middle School,RE-V5RC-25-1748,2025-10-24,64,0,64,0,64,false
199,70888A,梅园A队,Nanjing Kelihua Middle School,Nanjing,Jiangsu,China,Middle School,RE-V5RC-25-3592,2025-11-21,63,31,32,31,32,false
200,1028Y,The Botfather,Brownell Talbot College Preparatory School,Omaha,Nebraska,United States,Middle School,RE-V5RC-25-0438,2025-10-25,63,20,43,20,43,false
201,57152B,Blackout,CABOT JUNIOR HIGH NORTH,Cabot,Arkansas,United States,Middle School,RE-V5RC-25-0135,2025-11-15,63,20,43,20,43,false
202,40994E,Obsidian Outlaws,Dr. Phinnize J. Fisher Middle School,Greenville,South Carolina,United States,Middle School,RE-V5RC-25-0154,2025-11-12,63,15,48,15,48,false
203,6842A,Apollo,PARK TUDOR SCHOOL,Indianapolis,Indiana,United States,Middle School,RE-V5RC-25-1082,2025-11-01,63,15,48,15,48,false
204,28111Z,GZZJ-Bumblebee,Guangzhou Baiyun Zhujiang Experimental School,GuangZhou,Guangdong,China,Middle School,RE-V5RC-25-1177,2025-09-26,63,7,56,7,56,false
205,3866F,▰ 1 ▰,Curious X-Lab,Hsinchu City,,Taiwan,Middle School,RE-V5RC-25-0320,2025-10-25,63,5,58,5,58,false
206,2052D,shine,vex学苑苏州人民路校区,Suzhou,Jiangsu,China,Middle School,RE-V5RC-25-3592,2025-11-21,63,2,61,2,61,false
207,24500D,CCRMS Lions,RAVENSWOOD MIDDLE,East Palo Alto,California,United States,Middle School,RE-V5RC-25-1460,2025-11-08,62,29,33,29,33,false
208,65100K,Velocity,"Pymble Ladies College, Sydney, Australia",Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-2210,2025-10-26,62,20,42,20,42,false
209,2088K,Shockwave,Western Mechatronics Robotics Club,Calgary,Alberta,Canada,Middle School,RE-V5RC-25-1906,2025-11-22,62,15,47,15,47,false
210,10093A,10093A,上海闵行区德闳学校,上海,Shanghai,China,Middle School,RE-V5RC-25-3592,2025-11-21,62,6,56,11,56,false
211,462V,Wolverines,HARVARD-WESTLAKE,Los Angeles,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,62,0,62,0,62,false
212,4613G,Barker Greenbacks,Barker College,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-2067,2025-11-09,61,28,33,28,40,false
213,7481F,Surge,LEAGUE CITY INT,League City,Texas,United States,Middle School,RE-V5RC-25-1234,2025-11-08,61,15,46,25,46,false
214,34835Z,Colon Closing Parenthesis,THE GIRLS MIDDLE SCHOOL,Palo Alto,California,United States,Middle School,RE-V5RC-25-1473,2025-11-15,61,20,41,22,41,false
215,16689X,Dracobots/Toothless,Dracobots,Portland,Oregon,United States,Middle School,RE-V5RC-25-0054,2025-11-23,61,14,47,14,47,false
216,521A,HG STEAM LAB-Team 521A,HG STEAM LAB,beijing,Beijing,China,Middle School,RE-V5RC-25-3092,2025-10-24,61,6,55,6,55,false
217,8889C,98%,Numberosity Academy,Lexington,Massachusetts,United States,Middle School,RE-V5RC-25-2145,2025-10-25,60,20,40,20,44,false
218,51191B,Dino Nuggies,Level Up Robots,Lawrence,Kansas,United States,Middle School,RE-V5RC-25-0579,2025-10-25,60,20,40,20,40,false
219,4613N,Barker Nitrobacks,Barker College,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-2067,2025-11-09,60,15,45,15,45,false
220,88613R,88613R,Middle school affiliated to Beijing Normal University,Beijing,Beijing,China,Middle School,RE-V5RC-25-0641,2025-07-29,60,15,45,15,45,false
221,8192B,Shanghai Huangpu B,Shanghai Huangpu Teenagers S&T Activity Center,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,60,0,60,0,60,false
222,3996M,杭州竞创教育-M,杭州竞创教育科技有限公司,杭州,Zhejiang,China,Middle School,RE-V5RC-25-0862,2025-08-22,59,20,39,20,39,false
223,95070X,Redwood Robotics,Redwood PTA,Saratoga,California,United States,Middle School,RE-V5RC-25-0113,2025-10-12,59,19,40,19,40,false
224,12466A,Lucky Koi,DALIAN GEZHI MIDDLE SCHOOL,Dalian,Liaoning,China,Middle School,RE-V5RC-25-2050,2025-10-04,59,18,41,18,41,false
225,16689S,Dracobots/Symmetric,Dracobots,Portland,Oregon,United States,Middle School,RE-V5RC-25-0054,2025-11-23,59,17,42,17,42,false
226,57000G,Beijing 57 High School Team 1,Beijing 57 High School,Beijing,Beijing,China,Middle School,RE-V5RC-25-3129,2025-10-24,59,15,44,15,44,false
227,7225G,Southland Gearbots,Southland Middle School,Adams,Minnesota,United States,Middle School,RE-V5RC-25-9919,2025-11-15,59,15,44,15,44,false
228,15486E,Vexalicious,VISTA SCHOOL,Ivins,Utah,United States,Middle School,RE-V5RC-25-0566,2025-10-25,59,15,44,15,44,false
229,76412H,Robo-Jackets,HENRY SCOTT MIDDLE,Denison,Texas,United States,Middle School,RE-V5RC-25-0197,2025-11-22,59,15,44,15,44,false
230,13777X,Power-Drive,Power-Drive,MILPITAS,California,United States,Middle School,RE-V5RC-25-1473,2025-11-15,58,27,31,27,31,false
231,56888H,Fuzhou Pingdong MS,Fuzhou Pingdong MS,Fuzhou,Fujian,China,Middle School,RE-V5RC-25-1744,2025-10-03,58,23,35,23,40,false
232,886N,WPRA,Western Pacific Robotics Academy,Richmond,British Columbia,Canada,Middle School,RE-V5RC-25-2572,2025-10-12,58,20,38,20,38,false
233,1831C,King's Team Charlie,The King's School,North Parramatta,New South Wales,Australia,Middle School,RE-V5RC-25-3206,2025-10-24,58,15,43,15,43,false
234,4613Y,Barker Greybacks,Barker College,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-1876,2025-09-27,58,15,43,15,43,false
235,70123A,九初A队,NANJING No.9 JUNIOR HIGH SCHOOL,Nanjing,Jiangsu,China,Middle School,RE-V5RC-25-3592,2025-11-21,58,15,43,15,43,false
236,11088A,Sunrise,上海新华初级中学,上海,Shanghai,China,Middle School,RE-V5RC-25-0862,2025-08-22,57,29,28,29,28,false
237,41120A,Legendary Pickles,ZANESVILLE MIDDLE SCHOOL,Zanesville,Ohio,United States,Middle School,RE-V5RC-25-0882,2025-11-22,57,20,37,20,37,false
238,3477D,The Tax Collecters,St Andrews Christian College,Wantirna South,Victoria,Australia,Middle School,RE-V5RC-25-0034,2025-11-15,57,15,42,15,42,false
239,15383K,Double Park,TWGHs Yau Tze Tin Memorial College,New Territories,,Hong Kong,Middle School,RE-V5RC-25-0139,2025-11-22,57,15,42,15,45,false
240,10039C,奇迹行者,Dehong International Chinese School,上海,Shanghai,China,Middle School,RE-V5RC-25-0834,2025-08-14,57,15,42,15,42,false
241,52766A,The Da Vincis 2.0,SABIN MIDDLE SCHOOL,Colorado Springs,Colorado,United States,Middle School,RE-V5RC-25-0997,2025-11-15,57,15,42,15,42,false
242,14911A,Ares MK-11,Independent team,Fremont,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,57,6,51,6,51,false
243,8193B,Shanghai Yongchang B,Shanghai Yongchang Private School,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,57,5,52,5,52,false
244,3590A,Hawaiian Kids,WAIALUA HIGH & INTERMEDIATE SCHOOL,Waialua,Hawaii,United States,Middle School,RE-V5RC-25-0675,2025-10-25,57,4,53,4,53,false
245,54010A,Puck On Wheels,Cyberadelphia,Newtown Square,Pennsylvania,United States,Middle School,RE-V5RC-25-0154,2025-11-12,57,0,57,0,57,false
246,886X,WPRA,Western Pacific Robotics Academy,Richmond,British Columbia,Canada,Middle School,RE-V5RC-25-2529,2025-11-22,57,0,57,0,57,false
247,12366A,梦幻黑马,DALIAN DONGGANG NO.1 MIDDLE SCHOOL,Dalian,Liaoning,China,Middle School,RE-V5RC-25-0834,2025-08-14,56,10,46,20,46,false
248,7756A,陈分VRC机器人一队,Branch of Beijing Chen Jinglun Middle School,Beijing,Beijing,China,Middle School,RE-V5RC-25-3092,2025-10-24,56,20,36,20,36,false
249,3324Z,Supernova Circuit BreakerZ,SCIENCE ACADEMY STEM MAGNET,North Hollywood,California,United States,Middle School,RE-V5RC-25-0285,2025-11-15,56,20,36,20,36,false
250,82391B,The Engineering Barbies,TROY MIDDLE,Troy,Missouri,United States,Middle School,RE-V5RC-25-2182,2025-11-22,56,15,41,17,41,false
251,79298Z,Impact,Altona Middle School,Longmont,Colorado,United States,Middle School,RE-V5RC-25-2582,2025-11-08,56,15,41,15,41,false
252,26003A,Lil' George,SHERRARD MIDDLE SCHOOL,Wheeling,West Virginia,United States,Middle School,RE-V5RC-25-1854,2025-11-08,56,15,41,15,41,false
253,58399A,Velocity Vortex,Velocity Vortex,Wayland,Massachusetts,United States,Middle School,RE-V5RC-25-0126,2025-11-08,56,13,43,13,51,false
254,1806V,OLYMPUS,InoBotics,Mountain View,California,United States,Middle School,RE-V5RC-25-1473,2025-11-15,56,8,48,8,48,false
255,9651A,Hopes and Dreams,Upper Canada College,Toronto,Ontario,Canada,Middle School,RE-V5RC-25-0071,2025-11-04,56,6,50,6,50,false
256,95070D,Redwood Robotics,Redwood PTA,Saratoga,California,United States,Middle School,RE-V5RC-25-0123,2025-11-01,55,20,35,20,35,false
257,491C,91' Chevrolet Camaro RS,PIONEER JR-SR HIGH SCHOOL,Royal Center,Indiana,United States,Middle School,RE-V5RC-25-1978,2025-11-15,55,20,35,20,35,false
258,95070C,Redwood Robotics,Redwood PTA,Saratoga,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,55,0,55,20,55,false
259,7977A,成都高新区实验小学一队,Chengdu Gaoxin Experimental School,Chengdu,Sichuan,China,Middle School,RE-V5RC-25-0373,2025-07-17,55,20,35,20,35,false
260,3333D,Los Pollos Hermanos,Notre Dame Prep,Pontiac,Michigan,United States,Middle School,RE-V5RC-25-0644,2025-10-02,55,20,35,20,35,false
261,74162D,The Goonies,BLUE RIDGE MIDDLE SCHOOL,Blue Ridge,Texas,United States,Middle School,RE-V5RC-25-2014,2025-11-21,55,20,35,20,35,false
262,106D,Dum-Dums,Excel-Robotic Lab LLC,University Park,Texas,United States,Middle School,RE-V5RC-25-2014,2025-11-21,55,20,35,20,35,false
263,467A,467A,WEST MIDDLE SCHOOL,Nampa,Idaho,United States,Middle School,RE-V5RC-25-2517,2025-11-22,55,16,39,16,39,false
264,51191D,Angry Birdz,Level Up Robots,Lawrence,Kansas,United States,Middle School,RE-V5RC-25-0579,2025-10-25,55,15,40,15,40,false
265,52766G,Hog Riders,SABIN MIDDLE SCHOOL,Colorado Springs,Colorado,United States,Middle School,RE-V5RC-25-0997,2025-11-15,55,15,40,15,40,false
266,252A,And I Wonder,I Wonder Nexus,Richmond Hill,Ontario,Canada,Middle School,RE-V5RC-25-0205,2025-11-21,55,6,49,15,49,false
267,2568Z,Porta-Botz! Zoinks!,Portage Middle School,Portage,Indiana,United States,Middle School,RE-V5RC-25-1856,2025-11-08,55,15,40,15,40,false
268,10018A,The AffiliatedHigh School of Peking University — A,The Affiliated High School of Peking University,beijing,Beijing,China,Middle School,RE-V5RC-25-2050,2025-10-04,55,7,48,7,48,false
269,16689R,Dracobots/V=(RC)²,Dracobots,Portland,Oregon,United States,Middle School,RE-V5RC-25-0054,2025-11-23,55,6,49,6,49,false
270,62628A,Energy Sprout,Energy Sprout,Gilbert,Arizona,United States,Middle School,RE-V5RC-25-0270,2025-11-15,55,5,50,5,50,false
271,71030X,PNP-X,PNP studio,Guangzhou,Guangdong,China,Middle School,RE-V5RC-25-0373,2025-07-17,55,0,55,5,55,false
272,17888B,SDFZ-MS-B,江西师大附中,Nanchang,Jiangxi,China,Middle School,RE-V5RC-25-1177,2025-09-26,55,0,55,4,55,false
273,9791C,WalshBots - Cheese and Quackers,WALSH MIDDLE SCHOOL,Framingham,Massachusetts,United States,Middle School,RE-V5RC-25-9990,2025-11-23,54,20,34,20,34,false
274,27908T,LSTS LSTX,Lawrence S.Ting School,Ho Chi Minh City,,Vietnam,Middle School,RE-V5RC-25-1400,2025-11-22,54,20,34,20,34,false
275,74177E,Electric Surge,PINECREST ACADEMY OF NEVADA SLOAN CANYON,Henderson,Nevada,United States,Middle School,RE-V5RC-25-1270,2025-11-15,54,15,39,15,39,false
276,7686V,Vitality,Tiger Robotics (Harrisburg School District),Harrisburg,South Dakota,United States,Middle School,RE-V5RC-25-0610,2025-10-25,54,15,39,15,39,false
277,6706A,6706A,洋泾菊园实验学校,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,54,15,39,15,39,false
278,13766H,Xiamen Yingcai School&Songbai Middle School team,Xiamen Yingcai School & Xiamen Songbai Middle School team,Xiamen,Fujian,China,Middle School,RE-V5RC-25-1913,2025-11-07,54,7,47,7,47,false
279,2822D,Spartan Design Disneys,STAUFFER (MARY R.) MIDDLE,Downey,California,United States,Middle School,RE-V5RC-25-0771,2025-10-11,54,0,54,4,54,false
280,1140X,Discobots,XM Robotics,Toronto,Ontario,Canada,Middle School,RE-V5RC-25-0250,2025-11-22,53,20,33,20,33,false
281,34835Y,QBot,THE GIRLS MIDDLE SCHOOL,Palo Alto,California,United States,Middle School,RE-V5RC-25-1473,2025-11-15,53,18,35,18,35,false
282,7700E,Rolling Robots Electric Eels,Rolling Robots ,Rolling Hills Estates,California,United States,Middle School,RE-V5RC-25-0649,2025-11-15,53,15,38,15,38,false
283,73805G,The Goofy Goobers,GERMANTOWN MIDDLE SCHOOL,Madison,Mississippi,United States,Middle School,RE-V5RC-25-1105,2025-11-08,53,0,53,0,53,false
284,3082A,SSBS Team A,Shanghai Starriver Bilingual School,shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,53,0,53,0,53,false
285,3996W,天元公学-W,杭州竞创教育科技有限公司,杭州,Zhejiang,China,Middle School,RE-V5RC-25-0862,2025-08-22,52,16,36,16,36,false
286,33249A,Alpha and Omega,BOB JONES ACADEMY MIDDLE SCHOOL,Greenville,South Carolina,United States,Middle School,RE-V5RC-25-0501,2025-10-25,52,15,37,15,37,false
287,4613B,Barker Bluebacks,Barker College,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-1876,2025-09-27,52,15,37,15,37,false
288,1806Y,Catalyst,InoBotics,Mountain View,California,United States,Middle School,RE-V5RC-25-1472,2025-10-25,52,8,44,8,49,false
289,2838A,Kopter Pros,Red house,Palo Alto,California,United States,Middle School,RE-V5RC-25-1021,2025-10-18,51,20,31,20,48,false
290,457D,Asteroid Destroyer,JENISON JUNIOR HIGH SCHOOL,Jenison,Michigan,United States,Middle School,RE-V5RC-25-2224,2025-11-15,51,20,31,20,31,false
291,26003S,Clankers,SHERRARD MIDDLE SCHOOL,Wheeling,West Virginia,United States,Middle School,RE-V5RC-25-1854,2025-11-08,51,18,33,18,33,false
292,7481E,Eclipse,LEAGUE CITY INT,League City,Texas,United States,Middle School,RE-V5RC-25-0205,2025-11-21,51,15,36,15,36,false
293,2067Y,LinAn YuCai-Y,青山湖科技城育才学校,杭州市,Zhejiang,China,Middle School,RE-V5RC-25-0862,2025-08-22,51,0,51,0,51,false
294,69414X,All 'N',ANNIE CAMP JR. HIGH SCHOOL,Jonesboro,Arkansas,United States,Middle School,RE-V5RC-25-1447,2025-11-08,50,25,25,25,25,false
295,65100C,Pymble Potatoes,"Pymble Ladies College, Sydney, Australia",Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-1876,2025-09-27,50,20,30,20,34,false
296,3333Z,The Z Men,Notre Dame Prep,Pontiac,Michigan,United States,Middle School,RE-V5RC-25-1231,2025-11-01,50,20,30,20,30,false
297,1831M,King's Team Mike,The King's School,North Parramatta,New South Wales,Australia,Middle School,RE-V5RC-25-2067,2025-11-09,50,15,35,15,35,false
298,57666T,北京市第五十七中学T队,Beijing No57 High School,北京,Beijing,China,Middle School,RE-V5RC-25-3129,2025-10-24,50,15,35,15,35,false
299,68689V,Ixekizumab,BP STEM Academy,Baldwin Park,California,United States,Middle School,RE-V5RC-25-1418,2025-10-04,50,15,35,15,35,false
300,2390A,Nautical Nuts,Nebo Robotics,Columbus,Indiana,United States,Middle School,RE-V5RC-25-0738,2025-11-08,50,15,35,15,35,false
301,38A,Shredder,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States,Middle School,RE-V5RC-25-0644,2025-10-02,50,15,35,15,35,false
302,6403X,The Minions,BROOKSIDE MIDDLE SCHOOL,Sheffield Village,Ohio,United States,Middle School,RE-V5RC-25-0882,2025-11-22,50,15,35,15,35,false
303,67411T,Tactical Error,Hodges Private Team,Cumming,Georgia,United States,Middle School,RE-V5RC-25-1373,2025-11-22,50,11,39,11,39,false
304,2608J,BISZ-AJ,深圳贝赛思国际学校,深圳,Guangdong,China,Middle School,RE-V5RC-25-1913,2025-11-07,50,2,48,2,48,false
305,46846C,Poppy and Pals,Gordonstoun School,Elgin,,United Kingdom,Middle School,RE-V5RC-25-0779,2025-11-25,49,15,34,15,34,false
306,65292D,Loose Chain,Central Middle School,Bartlesville,Oklahoma,United States,Middle School,RE-V5RC-25-0478,2025-10-25,49,10,39,10,39,false
307,10052X,HSch Attached to BUT-X,High School Attached to Beijing University of Technology,beijing,Beijing,China,Middle School,RE-V5RC-25-2050,2025-10-04,49,0,49,0,49,false
308,3116E,Team Control Freaks - 3 Amigos,The John Warner School,Hoddesdon,,United Kingdom,Middle School,RE-V5RC-25-2783,2025-10-27,48,20,28,20,28,false
309,63331A,Ryde Secondary,Ryde Secondary College,Ryde,New South Wales,Australia,Middle School,RE-V5RC-25-1957,2025-10-11,48,0,48,15,48,false
310,40994C,Metal Gear,Dr. Phinnize J. Fisher Middle School,Greenville,South Carolina,United States,Middle School,RE-V5RC-25-0088,2025-11-08,48,3,45,3,45,false
311,1281B,TBD - Radiant,Radiant Robot,Arcadia,California,United States,Middle School,RE-V5RC-25-0343,2025-11-08,48,0,48,0,48,false
312,1831S,King's Team Sierra,The King's School,North Parramatta,New South Wales,Australia,Middle School,RE-V5RC-25-2067,2025-11-09,47,15,32,15,33,false
313,3028Y,Owlbots,TAG IN PLEASANT GROVE,Dallas,Texas,United States,Middle School,RE-V5RC-25-0197,2025-11-22,47,15,32,15,32,false
314,9123Z,Shanghai RuiGuan Team 9123Z,ShangHai RuiGuan Robotics Activity Center,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-0862,2025-08-22,47,7,40,7,40,false
315,66991A,极速火箭,Future Leader Robot Club,Beijing,Beijing,China,Middle School,RE-V5RC-25-0641,2025-07-29,47,4,43,4,43,false
316,2088U,Uranium-237/238,Western Mechatronics Robotics Club,Calgary,Alberta,Canada,Middle School,RE-V5RC-25-1906,2025-11-22,47,2,45,2,45,false
317,7830A,ACP Noble Knights,Arizona College Prep Middle School,Chandler,Arizona,United States,Middle School,RE-V5RC-25-0270,2025-11-15,46,20,26,20,26,false
318,21352A,Vexterminator,Tointon Academy of Pre-Engineering,Greeley,Colorado,United States,Middle School,RE-V5RC-25-1628,2025-11-22,46,20,26,20,26,false
